SpeciesCode,BandNumberIn,BandNumberOut,Year,Month,Day,LocCountry,LocStateProvince,LocCity,LocArea,PlotName,PlotID,Latitude_dec,Longitude_dec,Easting,Northing,Hem,Zone,BanderID,ScribeID,CaptureTime,BandDisposition,BirdStatus,ULIn,LLIn,URIn,LRIn,FlagColorIn,FlagCodeIn,ULOut,LLOut,UROut,LROut,FlagColorOut,FlagCodeOut,NestID,BroodID,NestMate,NestAdult1,NestAdult2,BandSize,CaptureMethod,Age,Sex,HowAged,HowSexed,Mass_g,FatScore,TotalHead_mm,NaresTip_mm,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,Tarsus_mm,Wing_mm,Tail_mm,P10_mm,P10Exposed_mm,BroodPatch,BodyMolt,FlightFeatherMolt,RectWear,AISwabO,AISwabC,Fecal,Nails,Blood,BloodFilter,BloodGenetics,BloodHg,Feather,Downy,FeatherType1,FeatherType2,BirdDisposition,TagType1,TagStatus1,TagID1,PlatformID1,TagMass1_g,TagAttachment1,TagManufacturer1,TagModel1,TagType2,TagStatus2,TagID2,PlatformID2,TagMass2_g,TagAttachment2,TagManufacturer2,TagModel2,RadioFrequency_mHz,Photos,EstHatchDate,ChickAge_d,ChickAgeType,Notes
BLPW,,274058310,2020,6,11,USA,Alaska,Anchorage,JBER,,AMCO,61.31196,-149.81151,,,,,,,11:07,1,319,,,,,,,,Y-G-B,,Y-A,,,,,,,,,MN,SY,M,PL,PL,11.8,1,30.8,,10.2,,,20.3,78,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058317,2020,6,12,USA,Alaska,Anchorage,JBER,,DENA,61.25506,-149.84402,,,,,,,8:14,1,319,,,,,,,,Dg-R-Db,,Y-A,,,,,,,,,MN,SY,M,PL,PL,11.9,0,30.4,,9.6,,,20.1,77,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058391,2021,6,1,USA,Alaska,Anchorage,JBER,,DENA,61.25433,-149.85181,347026,6794455,N,6,,,,1,319,,,,,,,,Y-Dg-Db,,Y-A,,,,,,,,,MN,ASY,M,PL,CP,11.5,0,29.4,,10.1,,,18.6,74,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058392,2021,6,2,USA,Alaska,Anchorage,JBER,,DENA,61.26628,-149.81559,349026,6795701,N,6,,,,1,319,,,,,,,,Db-Db-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,CP,11.4,1,29.6,,9.9,,,19.4,73,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058393,2021,6,4,USA,Alaska,Anchorage,JBER,,DENA,61.258876,-149.83379,348014,6794919,N,6,,,,1,319,,,,,,,,Y-Db-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,CP,12.2,1,30,,9.8,,,19.4,77,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058394,2021,6,4,USA,Alaska,Anchorage,JBER,,DENA,61.260486,-149.834561,347981,6795100,N,6,,,,1,319,,,,,,,,Dg-Db-Dg,,Y-A,,,,,,,,,MN,ASY,M,PL,CP,13.3,1,30.7,,8.9,,,19.9,76,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058395,2021,6,4,USA,Alaska,Anchorage,JBER,,DENA,61.26281,-149.82651,348424,6795340,N,6,,,,1,319,,,,,,,,Dg-R-Dg,,Y-A,,,,,,,,,MN,ASY,M,PL,CP,12.1,1,30.9,,10,,,18.4,76,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058396,2021,6,4,USA,Alaska,Anchorage,JBER,,HILA,61.27071,-149.818382,348897,6796201,N,6,,,,1,319,,,,,,,,Y-R-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,CP,11.9,1,30.3,,8.7,,,19,76,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058397,2021,6,4,USA,Alaska,Anchorage,JBER,,FILA,61.27573,-149.79828,349998,6796713,N,6,,,,1,319,,,,,,,,R-R-R,,Y-A,,,,,,,,,MN,ASY,M,PL,CP,13.6,0,30.9,,10.2,,,19.5,78,,,,,0,,0,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153338,2021,6,18,USA,Alaska,,Eielson,,CATH,64.711238,-147.1167,,,,,,,11:47,1,319,,,,,,,Dg,O,Y,A,,,CATH_02,,,,,1A,BN,AHY,U,CA,,38.2,3,46.2,15.8,22.6,,,25.5,105,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153339,2021,6,18,USA,Alaska,,Eielson,,CATH,64.713356,-147.1186,,,,,,,12:37,1,319,,,,,,,Dg,W,Y,A,,,CATH_01,,,,,1A,BN,AHY,U,CA,,39.8,1,47,16.9,23.7,,,24,102,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153340,2021,6,18,USA,Alaska,,Eielson,,CATH,64.714906,-147.1193,,,,,,,13:05,1,319,,,,,,,Dg,Y,Y,A,,,CATH_03,,,,,1A,BN,AHY,U,CA,,42.1,1,47.3,16.9,23.6,,,23.9,98,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153331,2021,6,2,USA,Alaska,,Eielson,,CATH,64.7136,-147.1191,,,,,,,7:30,1,319,,,,,,,Db,Db-Db,Y,A,,,,,,,,1B,WT,AHY,U,CA,,53.8,2,49.7,16.9,24.3,,,26.6,107,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153332,2021,6,2,USA,Alaska,,Eielson,,CATH,64.7095,-147.1198,,,,,,,8:34,1,319,,,,,,,Db,Db-O,Y,A,,,,,,,,1B,MN,AHY,U,CA,,54.2,2,50.2,17.6,23.9,,,25.2,112,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153333,2021,6,2,USA,Alaska,,Eielson,,CATH,64.7136,-147.1191,,,,,,,10:03,1,319,,,,,,,Db,Db-W,Y,A,,,,,,,,1B,WT,AHY,U,CA,,39.6,0,48,16.3,23.2,,,24.3,104,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153334,2021,6,2,USA,Alaska,,Eielson,,CATH,64.7136,-147.1191,,,,,,,10:55,1,319,,,,,,,Db,Db-Dg,Y,A,,,,,,,,1B,WT,AHY,U,CA,,53.8,1,48.3,16.1,22.9,,,24.2,104,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153335,2021,6,8,USA,Alaska,,Eielson,,SEWA,64.6955,-147.1212,,,,,,,7:10,1,319,,,,,,,Db,Db-Y,Y,A,,,,,,,,1B,MN,AHY,U,CA,,50.5,1,45.7,15.8,21.5,,,24.2,104,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153336,2021,6,8,USA,Alaska,,Eielson,,SEWA,64.7399,-147.0581,,,,,,,8:23,1,319,,,,,,,Dg,Dg-Dg,Y,A,,,,,,,,1B,MN,AHY,U,CA,,40.8,0,48.4,16.7,22,,,24.2,105,,,,,1,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153337,2021,6,8,USA,Alaska,,Eielson,,SEWA,64.6955,-147.1214,,,,,,,10:56,1,319,,,,,,,Dg,Dg-Db,Y,A,,,,,,,,1B,MN,AHY,U,CA,,43.6,1,47.9,16.1,23.3,,,22.7,106,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153341,2021,6,19,USA,Alaska,,Eielson,,MULL,64.6386,-147.0375,,,,,,,9:27,1,319,,,,,,,W,Dg,Y,A,,,MULL_01,,,,,1B,BN,AHY,U,CA,,40.4,0,47.8,16.1,22.5,,,23.5,101,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
SPSA,,257153347,2021,6,19,USA,Alaska,,Eielson,,28MP,64.6094,-147.0616,,,,,,,7:27,1,319,,,,,,,W,W,Y,A,,,28MP_01,,,,,1B,BN,AHY,U,CA,,40,1,48.2,16.3,23.6,,,24.4,104,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
UPSA,,171348920,2021,6,22,USA,Alaska,,,,HANS,64.0095,-145.3583,,,,,,,6:28,1,380,,,,,,,Db,Db,Y,A,,,,,,,,3,MN,AHY,U,CA,,173.8,3,64.5,22.3,30.7,,,48.4,181,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1297,,,,,,,,,,,,,,,,,,,
UPSA,,171348923,2021,6,22,USA,Alaska,,,,HANS,64.0095,-145.3583,,,,,,,17:50,1,319,,,,,,,Db,O,Y,A,,,,,,,,3,MN,AHY,U,CA,,188.3,2,66.2,23,32.3,,,53.1,182,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1312,,,,,,,,,,,,,,,,,,,
UPSA,,171348924,2021,6,25,USA,Alaska,,,,PHIL,63.9292,-145.1782,,,,,,,6:34,1,380,,,,,,,Db,R,Y,A,,,,,,,,3,MN,AHY,U,CA,,198.3,2,67.4,25.3,32.8,,,53.5,190,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1296,,,,,,,,,,,,,,,,,,,
UPSA,,171348925,2021,6,25,USA,Alaska,,,,PHIL,63.9292,-145.1782,,,,,,,6:44,1,319,,,,,,,Db,Dg,Y,A,,,,,,,,3,MN,AHY,U,CA,,151,2,66.6,22.9,32,,,50.8,178,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1315,,,,,,,,,,,,,,,,,,,
BADE,,171348926,2021,6,25,USA,Alaska,,,,PHIL,63.9292,-145.1782,,,,,,,6:25,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
UPSA,,171348927,2021,6,27,USA,Alaska,,,,JAY,63.9036,-145.2041,,,,,,,7:28,1,319,,,,,,,Db,Y,Y,A,,,,,,,,3,MN,AHY,U,CA,,130.1,1,65.6,21.5,32.3,,,49.2,170,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1314,,,,,,,,,,,,,,,,,,,
UPSA,,171348928,2021,6,27,USA,Alaska,,,,JAY,63.9036,-145.2041,,,,,,,7:28,1,319,,,,,,,Dg,Dg,Y,A,,,,,,,,3,MN,AHY,U,CA,,157.8,1,60.8,21.6,30.8,,,48.7,189,,,,,0,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1311,,,,,,,,,,,,,,,,,,,
UPSA,,171348929,2021,6,27,USA,Alaska,,,,JAY,63.9045,-145.2003,,,,,,,7:50,1,319,,,,,,,Dg,Db,Y,A,,,,,,,,3,MN,AHY,U,CA,,141.1,1,63.4,20,29,,,47.6,184,,,,,1,N,,,,,Y,Y,,,,Y,,,,1,,Deployed,1313,,,,,,,,,,,,,,,,,,,
